word,polarity
몸이 뻐근하게,-1
몸이 실하고,2
몸이 야위는,-1
몸이 야위어,-1
몸이 약하거나,-1
몸이 약하여,-1
몸이 약하여서,-1
몸이 약하여져서,-1
몸이 여위게,-1
몸이 여위고,-1
몸이 여위어,-1
몸이 움츠러들거나,-1
몸이 지쳐,-1
몸이 참,-1
몸이 허약하여,-1
몸이 회복되다,2
몸져눕게,-2
몸져눕게 만들다,-2
몸져눕는,-2
몸져눕는 상태가,-2
몸짱,1
몹시 가난하고,-2
몹시 가난하여,-2
몹시 가난한,-2
몹시 가렵고,-2
몹시 가쁘고,-2
몹시 갑갑하고,-2
몹시 거북스럽게,-2
몹시 거북하거나,-2
몹시 거칠게,-2
몹시 거칠고,-2
몹시 거칠다,-2
몹시 거칠어,-2
몹시 겁을,-2
몹시 게으름을,-2
몹시 경망스럽게,-2
몹시 고단하다,-2
몹시 고단하여,-2
몹시 고생스러운,-2
몹시 고통을,-2
몹시 괴로운,-2
몹시 괴롭고,-2
몹시 괴롭다,-2
몹시 괴롭히거나,-2
몹시 구속하다,-2
몹시 군색함,-2
몹시 군소리를,-2
몹시 굳은,-2
몹시 굼뜨고,-2
몹시 궁하고,-2
몹시 귀찮게,-2
몹시 귀찮아하도록,-2
몹시 긴장하거나,-2
몹시 까불어서,-2
몹시 까칠하다,-2
몹시 꺼불다,-2
몹시 꺼칠하다,-2
몹시 끌리도록,1
몹시 난처하거나,-2
몹시 낡고,-2
몹시 노엽거나,-2
몹시 노하여,-2
몹시 놀라,-2
몹시 놀라거나,-2
몹시 느리고,-2
몹시 답답하고,-2
몹시 답답한,-2
몹시 대단하고,2
몹시 더듬는,-2
몹시 더러운,-2
몹시 더러워진,-2
몹시 더럽고,-2
몹시 더럽다,-2
몹시 더운,-2
몹시 두려워서,-2
몹시 두렵고,-2
몹시 뒤엉키어,-2
몹시 따뜻하다,2
몹시 딱하고,-2
몹시 뜨거운,-2
몹시 뜨겁다,-2
몹시 만족스러운,2
몹시 많거나,2
몹시 멋없이,-2
몹시 메스꺼워,-2
몹시 못마땅하거나,-2
몹시 못살게,-2
몹시 무덥고,-2
몹시 무서운,-2
몹시 무섭거나,-2
몹시 무질서하게,-2
몹시 미련하거나,-2
몹시 미련하고,-2
몹시 미련한,-2
몹시 미움을,-2
몹시 바쁘게,-2
몹시 반드러운,2
몹시 반드럽다,2
몹시 버릇없이,-2
몹시 번드럽다,2
몹시 분하거나,-2
몹시 분하고,-2
몹시 분하여,-2
몹시 불평스럽게,-2
몹시 비굴하게,-2
몹시 사나운,-2
몹시 사납다,-2
몹시 사랑스럽다,2
몹시 사랑하거나,2
몹시 사랑하고,2
몹시 살기,-2
몹시 상하다,-2
몹시 상한,-2
몹시 상함,-2
몹시 샐그러뜨리며,-2
몹시 샘바르고,-2
몹시 서두르며,-2
몹시 설레어,2
몹시 성을,-2
몹시 소란하고,-2
몹시 소모되어,-2
몹시 수척하다,-2
몹시 쉬거나,-2
몹시 슬퍼하면서,-2
몹시 슬프게,-2
몹시 슬프고,-2
몹시 시끄럽고,-2
몹시 시끄럽다,-2
몹시 시들한,-2
몹시 시장하거나,-2
몹시 시큰둥한,-2
몹시 싫어하는,-2
몹시 싫어하여,-2
몹시 싫어함을,-2
몹시 심하게,-2
몹시 심하여,-2
몹시 심한,-2
몹시 싱겁게,-2
몹시 싸늘한,-2
몹시 쑤시고,-2
몹시 쓰리고,-2
몹시 씁쓰레하게,-2
몹시 아끼고,2
몹시 아니꼽다,-2
몹시 아리고,-2
몹시 아쉽다,-2
몹시 아프거나,-2
몹시 아프게,-2
몹시 아프고,-2
몹시 아픈,-2
몹시 악독하게,-2
몹시 악한,-2
몹시 안타깝게,-2
몹시 앓는,-2
몹시 앓다,-2
몹시 앓음,-2
몹시 암상스럽게,-2
몹시 애를,-2
몹시 애쓰다,-2
몹시 야무지고,2
몹시 야위고,-2
몹시 야윈,-2
몹시 약하여지는,-2
몹시 어긋나고,-2
몹시 어려운,-2
몹시 어색하거나,-2
몹시 어수선하게,-2
몹시 어수선하다,-2
몹시 어수선한,-2
몹시 어지러워,-2
몹시 어지럽고,-2
몹시 억누르는,-2
몹시 억누르다,-2
몹시 억울하거나,-2
몹시 언짢거나,-2
몹시 얼떨떨하다,-2
몹시 얽은,-2
몹시 여윈,-2
몹시 외로워하다,-2
몹시 요망스럽게,-2
몹시 우물거리며,-2
몹시 우물쭈물하는,-2
몹시 우직스럽게,-2
몹시 울렁거리는,-2
몹시 울렁거리다,-2
몹시 원망스럽고,-2
몹시 원망하듯,-2
몹시 위태로움,-2
몹시 자지러지게,-2
몹시 즐겨서,2
몹시 즐기는,2
몹시 지저분하게,-2
몹시 지쳐,-2
몹시 지쳐서,-2
몹시 지치거나,-2
몹시 지친,-2
몹시 찡그리다,-2
몹시 참혹함을,-2
몹시 초라하다,-2
몹시 취하여,-2
몹시 침침해지다,-2
몹시 탄식하다,-2
몹시 피곤하거나,-2
몹시 피로하여,-2
몹시 하찮고,-2
몹시 해지거나,-2
몹시 허둥거리는,-2
몹시 허약할,-2
몹시 허약해진,-2
몹시 허전하다,-2
몹시 허전한,-2
몹시 호된,-2
몹시 화가,-2
몹시 화나게,-2
몹시 화를,-2
몹시 흉악하게,-2
몹시 흉악하다,-2
몹시 흉악한,-2
몹시 흉악함,-2
몹시 흉하거나,-2
몹시 흐려지다,-2
몹시 흐리멍덩하게,-2
몹시 흥분하거나,-2
몹시 희다,0
몹시 힘겹게,-2
몹시 힘들거나,-2
몹쓸,-2
몹쓸 행동을,-2
못,0
못 가누다,-1
못 견디게,-2
못 견디다,-2
못 되다,-2
못 되도록,-2
못 미쳐,-1
못 쓰게,-1
못 하게,-1
못 하게 하다,-1
못 하다,-1
못나게,-2
못나고,-2
못난,-2
못난 사람,-2
못난 사람을,-2
못난 사람의,-2
못난 사람이나,-1
못난 수단,-2
못난 짓,-2
못난이,-2
못남,-2
못났다,-2
못되게,-2
못되게 굴어,-2
못된,-2
못된 꾀,-2
못된 꾀로,-2
못된 사람을,-2
못된 사람이나,-2
못된 성품을,-2
못된 일에,-2
못된 일을,-2
못된 입,-2
못된 장난을,-2
못된 짓,-2
못된 짓을,-2
못마땅하거나,-2
못마땅하게,-2
못마땅하게 노려보다,-2
못마땅하게 여겨,-2
못마땅하게 여기는,-2
못마땅하게 여기다,-2
못마땅하게 여기어,-2
못마땅하게 여김,-2
못마땅하게 여김을,-2
못마땅하다,-2
못마땅하며,-2
못마땅하여,-2
못마땅하여 군소리를,-2
못마땅하여 기분이,-2
못마땅하여 시들하다,-2
못마땅하여서 내는,-2
못마땅한,-2
못마땅한 것을,-2
못마땅한 것이,-2
못마땅한 사람이나,-2
못마땅할,-2
못마땅할 때,-2
못마땅할 때에,-2
못마땅해하면서,-2
못살게,-2
못살게 구는,-2
못살게 군다는,-2
못살게 굴거나,-2
못살게 굴다,-2
못살게 굴며,-2
못생겨서,-2
못생겨서 흉하게,-2
못생겼다,-2
못생기다,-2
못생긴,-1
못생김,-2
못하거나,-2
못하게,-2
못하게 되다,-2
못하게 망치다,-2
못하게 방해하다,-2
못하게 하다,-2
못하겠다고,-2
못하겠다고 버티다,-2
못하고,-2
못하고 나쁘다,-2
못하고 몸져눕는,-2
못하고 실없이,-2
못하고 어물어물하다,-2
못하고 엉성하고,-2
못하고 쪼들리게,-2
못하고 허술한,-2
못하고 희미하게,-1
못하는 결점,-2
못하는 모양,-1
못하는 상태,-1
못하는 상태가,-2
못하는 상태로,-1
못하다,-2
못하던,-1
못하던 일,-1
못하도록,-1
못하도록 억지로,-2
못하여,-1
못하여 당하다,-2
못하여 순진하고,-1
못하여 안타깝다,-2
못하여 어수선하고,-2
못한,-1
못한 데가,-2
못한 상태이다,-2
못한 자는,-1
못한 형편을,-2
못할 만큼,-1
못할 만한,-1
못함을,-1
몽땅 빼앗거나,-2
몽땅 없애다,-2
무가치,-1
무가치하고,-2
무가치하고 무의미하게,-2
무거운 걸음으로,-2
무거운 기운이,-2
무거운 발걸음으로,-2
무거운 분위기나,-2
무겁거나 하여,-1
무겁고 투박하다,-2
무겁다,-1
무게 있게,1
무게가 있게,1
무게가 있는,1
무게가 있다,1
무관심,-1
무관심하다,-2
무관심한,-1
무궁무진하다,1
무기력,-2
무기력하다,-1
무기력한,-2
무기력함,-1
무너뜨리다,-2
무너지게,-2
무너지게 하다,-2
무너지는,-2
무너지는 소리가,-2
무너지다,-2
무너짐,-2
무뇌충,-2
무능력,-1
무능하다,-1
무능한,-1
무단 결석,-2
무단결석,-2
무더위로,-2
무디다,-2
무뚝뚝하다,-1
무량한 마음을,1
무례하다,-2
무례한,-2
무례한 것으로,-2
무례한 데가,-2
무례한 사람을,-2
무례함,-2
무료로,1
무르게 생긴,-1
무르고 부드러운,1
무르고 부드럽다,1
무릎이 시리고,-1
무리에서 기피되어,-1
무리에서 기피하여,-1
무리하게,-1
무리하다,-1
무모하다,-1
무모한,-1
무분별한,-2
무사히,1
무서운,-2
무서운 꿈에,-2
무서운 느낌이,-2
무서운 말이나,-2
무서운 사람,-2
무서울,-2
무서울 정도로,-2
무서움,-2
무서움 때문에,-2
무서움을,-2
무서움을 느낄,-2
무서워,-2
무서워서,-2
무서워서 간신히,-2
무서워서 지르는,-2
무서워하는,-2
무서워하는 증상,-2
무서워하여,-2
무섭거나,-2
무섭거나 놀라서,-2
무섭거나 두려운,-2
무섭거나 아파서,-2
무섭거나 징그러울,-2
무섭거나 차가움을,-2
무섭거나 추워서,-2
무섭고,-2
무섭고 끔찍하다,-2
무섭고 끔찍한,-2
무섭고 두려워서,-2
무섭기까지,-2
무섭다,-2
무시당하다,-2
무시하다,-1
무안을,-2
무안을 당하거나,-2
무안을 당하다,-2
무안하거나,-2
무안하고,-2
무안하고 부끄럽게,-2
무안하고 부끄럽다,-2
무엇에 얽매여서,-1
무엇을 바라거나,1
무엇을 보고도 제대로 알지 못하는 사람,-2
무엇을 융통하거나,1
무엇을 잃거나,-2
무엇을 좋아하여,2
무엇을 토하다,-1
무엇이 훌륭하거나,2
무용적 조화와,1
무의미하게,-2
무의미하다,-2
무의미한,-1
무의미한 말이나,-1
무의하다,-2
무자비하다,-2
무자비한,-1
무정한,-2
무정한 행동이나,-2
무지근한,-1
무지근한 증상이,-1
무지러져서,-1
무지하고,-2
무지하고 포악하며,-2
무지하고 하찮은,-2
무질서하게,-2
무질서하게 고부라져,-2
무질서하게 몰려드는,-2
무질서하게 부러지거나,-2
무질서하게 일어나는,-2
무질서하고,-2
무질서한,-2
무질서한 정치,-2
무책임,-2
무책임하다,-2
무탈하다,2
무편무당하다,1
무한이기주의,-1
무해하다,2
무해한,1
무형적 손해를,-1
무효로,-1
무효로 하다,-1
무효로 함,-1
문드러져,-1
문드러지다,-1
문란하게,-2
문란하여진,-1
문란하여진 법도,-1
문맹,-1
문맹 상태를,-1
문제 삼아,-1
문제의 아름다움과,2
문체가 화려하게,1
문학에 뛰어나고,2
물건 따위를 아끼지 아니하고,-1
물건을 훔쳐,-2
물건을 훔치거나,-1
물건을 훔치는,-1
물건을 훔치려고,-2
물건을 훔친다는,-2
물건이 귀엽게,2
물러나다,-1
물러서거나,-1
물리거나,-1
물리거나 지루해져서,-1
물리거나 질리다,-1
물리거나 질림,-1
물어 주다,-1
물어뜯거나,-1
물에 빠져,-1
물이 맑고,1
물이 오르다,1
물정에 밝은,1
물질대사가 안되어,-1
물질적인 이득이나,2
물집,-1
뭇사람을 구제함,1
뭐서워서 자꾸,-2
므흣하다,1
미개하다,-1
미개하여,-2
미개한,-2
미끄러운,1
미끄러운 모양,1
미끈하다,1
미덥지,0
미덥지 못하게,-2
미덥지 못하다,-2
미덥지 못한,-2
미덥지 못한 행동을,-2
미덥지 아니하고,-2
미덥지 아니한,-2
미덥지 않은,-2
미띤,-1
미련이,-2
미련이 남아,-2
미련하거나,-2
미련하고,-2
미련하고 험상궃은,-2
미련하다,-2
미련하여,-2
미련한,-2
미련한 데가,-2
미련한 사람을,-2
미루거나,-1
미루다,-1
미루지 않고,1
미묘하여,1
미세함,1
미소,2
미소를 보냄을,1
미숙하다,-1
미숙하여,-1
미숙한,-1
미안하게,-1
미안하고,-1
미안하고 딱하게,-2
미안하고 딱하다,-2
미안하다,-1
미안하여,-1
미안하여 어색하다,-2
미안함,-1
미약하다,-1
미운,-2
미운 듯한,-2
미운 듯한 데가,-2
미운 사람을,-2
미운 얼굴이나,-2
미운 짓을,-2
미움을,-2
미움을 받을,-2
미움을 받을 만한,-2
미워하고,-2
미워하고 깎아내리려,-2
미워하고 꺼림,-2
미워하는,-2
미워하는 감정,-2
미워하는 기색,-2
미워하는 마음,-2
미워하는 생각이나,-2
미워하다,-2
미워할,-2
미워함,-2
미워함을,-2
미워함을 이르는,-2
미워해,-2
미인,2
미천한,-2
미천한 사람을,-2
미치겠다,-2
미치지 못하게,-1
미치지 못함을,-1
미치지 못해,-1
미친,-2
미친 사람처럼,-2
미친 증세가,-2
미친개의,-1
미칠 만하게,-1
미혹한,-2
미혹한 마음,-2
믿고,1
믿고 의지하다,1
믿다,1
믿을 만하고,2
믿을 수 없을 정도로,1
믿음,1
믿음성,2
믿음성 있게,2
믿음을,1
믿음직스러운,2
믿음직스러워,2
믿음직스럽게,2
믿음직스럽고,2
믿음직스럽다,2
믿음직하고,2
믿음직할,2
믿음직할 정도로,2
믿지 못하는,-2
믿지 못하다,-2
믿지 못할,-2
믿지 아니하거나,-2
밀려나다,-1
밀려나지 않고,0
밀린 사람,-1
밉게,-2
밉게 노는,-2
밉게 보이는,-2
밉게 생긴,-2
밉게 여기거나,-2
밉게 여기는,-2
밉다,-2
밉살스러운,-2
밉살스러운 데가,-2
밉살스럽게,-2
밉살스럽게 달라붙어,-2
밉살스럽게 이리저리로,-2
밉살스럽게 재깔이며,-2
밉살스럽게 지껄이며,-2
밉살스럽고,-2
밉살스럽고 짓궃게,-2
밋밋하다,-1
ㅂㅅ,-1
바닥이 훤하게,0
바라거나,0
바라거나 의지하다,1
바라거나 탐내는,0
바라는,0
바라진,-1
바라진 상태,-1
바람을 피우며,-1
바람이 없고,0
바람직스럽다,2
바람직하다,2
바람직한,2
바래서,-1
바로잡다,1
바로잡아 새로운,1
바르거나,2
바르거나 옳게,2
바르게,2
바르게 고치다,1
바르게 만들다,1
바르고,2
바르고 곧게,2
바르고 곧다,2
바르다,2
바르며,2
바르며 상냥하게,2
바르며 상냥하다,2
바르지 못하고,-1
바르지 못하다,-1
바르지 못한,-1
바르지 못함,-1
바르지 아니하고,-1
바른,2
바른 도리,2
바른 말이나,2
바른 일과,2
바른 정치,2
바른 정치로,1
바른 지혜로써,2
바를 이루어,2
바보,-2
바보같이,-1
바보같이 웃는,-1
바쁘게,-1
바스러질 정도로,-1
바이러스,-1
바지직대다,-1
바짝 재촉하다,-1
박복함,0
박약,-1
박탈되고,-2
박탈되어,-2
박탈하고,-2
박탈하다,-2
박탈하여,-2
박할,-2
박할하다,-2
반가운,2
반가운 비,2
반갑다,2
반기다,2
반기지 않는,-2
반대하거나,-2
반대하다,-2
반드러운,2
반드러운 모양,2
반드럽게,2
반드럽다,2
반드르르하다,2
반들반들,1
반들반들 윤기가,1
반들반들하다,1
반듯하게,1
반듯하고,1
반듯하고 의젓한,2
반란,-2
반반하게,-2
반반하게 생긴,-2
반발하다,-2
반벙어리처럼,-1
반성하고,1
반신불수가,-2
반신불수가 되는,-2
반역,-2
반역을,-2
반역을 꾀함,-2
반지랍지 못한,-1
반품남,-1
반품녀,-1
반하다,1
반항하다,-2
반항하려는,-2
반항하려는 말이나,-2
반항하여,-2
반해버리다,1
반했다,1
받는 괴로움,-2
받는 벌,-2
받는 재앙,-2
받는 해,-2
받다,1
받들어 공경하다,2
받아들여지지 않고,-2
받아들이기는커녕,-2
받아들이지 않고,-2
받지 못하게,-1
받지 못하다,-1
발기 불능,-2
발길질을,-1
발길질을 하다,-1
발끈 성을,-2
발끈대다,-2
발달된,1
발달된 문명,1
발달하게 되다,1
발달하게 하다,1
발라서,1
발라서 흐뭇하다,1
발랄하다,2
발연기,-1
발열,-1
발열과,0
발열과 오한,-1
발열이,0
발육되지 못하여,-1
발육이 장애를,-2
발을 헛디디거나,-1
발작,-2
발전,1
발전되도록,1
발전시키는,1
발전시키는 일,1
발전이나,1
발전하게 하다,1
발전하는,1
발전하다,1
발컨,-1
발휘하지 못하다,-1
밝게,2
밝게 빛나거나,1
밝게 통달하는,2
밝고,2
밝고 강렬하게,2
밝고 경쾌하다,2
밝고 똑똑하다,2
밝고 똑똑한,2
밝고 보드랍게,2
밝고 선명하다,2
밝고 선명한,1
밝고 어질다,2
밝고 큰 덕,2
밝고 환함,2
밝고 활기가,2
밝다,2
밝아서,2
밝은,2
밝은 마음,2
밝은 빛이,2
밝은 사람,2
밝은 재주,2
밝은 지혜와,2
밝지 못하고,-1
밥이나 축내는,-2
방긋,2
방긋 웃는,2
방긋 웃다,2
방긋방긋,2
방긋방긋 웃는,2
방긋방긋 웃다,2
방면에 능하고,2
방자하고,-1
방자한,-1
방자한 태도로,-1
방정,-2
방정맞게,-2
방정맞게 계속,-2
방정맞게 까불거나,-2
방정맞게 까불며,-2
방정맞게 씰룩거리는,-1
방정맞게 오몰거리며,-2
방정맞게 움직이거나,-2
방정맞게 움직이며,-2
방정맞게 행동하다,-2
방정맞고,-2
방정맞은,-2
방정맞은 사람을,-2
방정을 떠는,-2
방정을 떨다,-2
방치되다,-1
방탕하게,-2
방탕하게 놀기를,-2
방탕하게 놀아나는,-2
방탕하고,-2
방탕하다,-1
방탕한,-2
방탕한 기질,-2
방탕한 사람을,-1
방탕한 짓을,-2
방해가,-2
방해가 되거나,-2
방해가 되는,-2
방해가 되다,-2
방해하거나,-2
방해하거나 막다,-2
방해하는,-2
방해하는 악업을,-2
방해하는 조건,-2
방해하는 짓,-2
방해하는 짓을,-2
방해하다,-2
방해하던,-2
방해하던 일,-2
방해하여,-2
방해함,-2
방향도 없이,-1
배가 떠남,-1
배가 아프고,-1
배가 아프다,-1
배가 아프며,-1
배를 곯다,-2
배반하다,-2
배반함,-2
배신하다,-2
배신하여,-2
배우는,0
배우다,1
배우지 못하여,-1
배우지 못한,-1
배워지고,0
배워지고 닦이다,1
배은망덕,-2
배척되다,-2
배척하다,-2
배탈,-2
뱀과 같이,-1
버겁다,-2
버그러져,-2
버그러진,-2
버그러진 데가,-2
버그러진 모양,-2
버려두어,-2
버려지다,-2
버릇,0
버릇없게,-2
버릇없게 굴다,-2
버릇없고,-2
버릇없는,-2
버릇없는 짓을,-2
버릇없이,-2
버릇없이,-2
버릇없이 경솔하게,-2
버릇없이 구는,-2
버릇없이 구는 태도로,-2
버릇없이 굴다,-2
버릇없이 까부는,-2
버릇없이 까불다,-2
버릇없이 행동하는,-2
버릇없이 행동하다,-2
버릇없이 흔들거나,-2
버릇이 없거나,-2
버릇이 없다,-2
버리다,-2
버린다는,-2
버성기어,-1
버젓하고 당당하게,2
버젓하고 당당하다,2
버젓하지,0
버젓하지 못하다,-2
버티거나 반항하다,-2
버프,1
벅차다,0
번거로운,-2
번거로운 일을,-2
번거롭게,-2
번거롭게 굴어,-2
번거롭다,-2
번드럽게,0
번드럽다,0
번듯이,1
번듯하게,1
번듯하고,1
번듯하고 의젓한,1
번지르르하게,0
번지르르하게 나다,0
번창한,2
번창한 집안,2
번하다,1
벌,-2
벌레가 나오는,-1
벌로,-2
벌로 내는,-2
벌받을,-2
벌받을 일을,-2
벌벌 떨릴,-1
벌벌 떨며,-1
벌을,0
벌을 받거나,-1
벌을 받다,-2
벌을 주다,0
범인,-2
범죄,-2
범죄 사실을,-2
범죄 행위나,-2
범죄로,-2
범죄로 인해,-2
범죄를,-2
범죄를 저지르도록,-2
범죄를 저지른,-2
범죄를 한,-2
범죄에,-2
범죄에 가담시키거나,-2
범죄에 의하여,-2
범죄자,-1
범죄자들의,-2
범죄적인,-2
범죄적인 행위,-2
법률에 위반되어,-2
법석이는 짓을,-1
법을 무시하고,-1
법을 위반한,-2
벗,1
벗어나,-1
벗어나 틀어지다,-2
벗어나다,-1
벗어나지 못하다,-1
벗어남이 없이,1
벙글거리며,0
벙긋,2
벙긋 웃는,2
벙긋 웃다,2
벙긋벙긋,2
벙긋벙긋 웃는,2
벙긋벙긋 웃다,2
벙벙한,-1
벙벙한 모양,-1
베푸는,1
베푸는 마음이,2
베푸는 사랑,2
베푸는 사랑과,2
베푸는 정,2
베풀거나,1
베풀다,1
베풀어,1
베풀어 주는,1
베풀어 주다,1
베풀어 줌,1
베풀어서,1
베풀어져,1
베풀어져 주어지다,1
베풀어지다,1
벼르다,-1
벼슬을 박탈하고,-2
벼슬이 박탈되고,-2
변덕스러워,-1
변변찮은,-2
변변찮은 고통이나,-2
변변치 못하거나,-2
변변치 못하다,-1
변변치 못한,-2
변변하지 못하여,-2
변변하지 못한,-2
변비,-1
변비증,-1
변사하다,-2
변태,-1
변함없이,1
별로다,-1
별스러울,-1
별스러울 정도로,-1
별스러워,-1
별안간 호들갑스럽게,-1
볍신,-2
병,-2
병 따위가,-1
병 따위로,-2
병독,-2
병독이 옮아,-2
병든,-2
병든 몸으로,-2
병들거나,-2
병들어,-2
병맛,-1
병세가,-2
병세가 지독하여,-2
병신이나,-2
병신이나 다름없는,-2
병에서,-2
병에서 벗어나,2
병으로,-2
병으로 인하여,-2
병을,-2
병을 앓거나,-2
병을 앓고,-2
병을 앓는,-2
병을 앓은,-1
병을 일으키는,-1
병을 치료하다,1
병의 기운이,-2
병의 빌미,-1
병이,-2
병이 나거나,-2
병이 나다,-2
병이 나서,-2
병이 남,-2
병이 생겨,-2
병이 잦음,-2
병이나,-2
병이나 과로,-2
병이다,-2
병적 상태,-2
병적 증상,-2
병적으로,-2
병적으로 싫어하고,-2
병적인,-2
병적인 강박,-2
병적인 증상,-2
병증,-2
병증으로,-2
병증을,-2
병치레를,-1
병치레를 하는,-1
보고 싶거나,0
보고 싶어,1
보고 싶어 하다,1
보고 즐기다,2
보기 거북하다,-2
보기 사납게,-2
보기 싫게,-2
보기 좋게,2
보기 좋을,2
보기 좋을 정도로,2
보기 흉하게,-2
보기 흉할,-2
보기도 괜찮고,1
보기에 가량맞고,-2
보기에 가엾고,-2
보기에 딱하여,-2
보기에 무정한,-2
보기에 무지하고,-2
보기에 미련하고,-2
보기에 부끄러운,-2
보기에 사랑스럽거나,2
보기에 신묘하게,1
보기에 싫다,-2
보기에 싫은,-2
보기에 야멸치고,-2
보기에 어려운,-1
보기에 어질고,1
보기에 언짢거나,-2
보기에 언짢을,-2
보기에 욕심이,-2
보기에 좋고,2
보기에 좋다,2
보기에 좋아지다,2
보기에 짜증이,-2
보기에 천하고,-2
보기에 흉하다,-2
보답이,1
보답하는,1
보드라운,1
보드라운 느낌이,1
보드라운 모양,1
보드랍게,1
보드랍게 살그머니,1
보드랍게 웃는,1
보드랍게 웃다,2
보드랍고,1
보드랍고 따뜻하다,2
보드랍고 따뜻하여,2
보드랍고 만만하다,1
보드랍고 무르다,1
보드랍고 무른,1
보드랍고 순하게,1
보드랍고 순한,1
보드랍고 야들야들한,1
보드랍고 연하게,1
보드랍고 연하다,1
보드랍고 연한,1
보드랍고 탄력,1
보드랍고 탐스럽게,2
보드랍고 하늘하늘하다,1
보드랍다,1
보드랍지 못하고,-1
보란 듯이,1
보람,1
보람 없이,-1
보람 있는,2
보람이나,1
보람이나 소득이,1
보로통히,-1
보배,1
보살의 지혜,1
보살피거나,1
보살피거나 수고하는,1
보살피거나 위하는,1
보살피다,1
보송보송,1
보송보송하다,1
보수적,-1
보수적이다,-1
보잘것없거나,-2
보잘것없거나 하찮은,-2
보잘것없고,-2
보잘것없는,-2
보잘것없는 솜씨와,-2
보잘것없다,-2
보잘것없음,-2
보잘것없이,-2
보잘것없이 되고,-2
보잘것없이 되다,-2
보잘것없이 작다,-2
보채거나,-1
보채거나 짜증을,-1
보채는,-1
보채는 소리,-1
보채는 소리를,-1
보채다,-1
보챔,-1
보충하다,1
보탬이,1
보탬이 되는,1
보통 이상의,1
보통 이상의 수준이어서,1
보통 이상이다,1
보호하여,1
복된,2
복된 좋은,2
복리,2
복리를,1
복리를 가져오는,1
복스러운 모양,2
복스럽고,2
복스럽고 탐스러운,2
복스럽고 탐스럽다,2
복원 불가,-1
복을,2
복을 쌓은,2
복이 되게,2
복이 됨,2
복이나,2
복이나 재주,2
복잡하거나,-1
복잡하거나 엄격하여,-2
복잡하게,-1
복잡하게 뒤섞여,-1
복잡하게 들끓다,-1
복잡하고,-1
복잡하고 엄격하여,-1
복잡하다,-1
복잡하여,-1
복종하다,-1
복종하면서,-1
복종하면서 삶을,-1
복종함,-1
복통을,-2
복통을 일으키는,-2
볶아치는,-1
볶아치는 모양,-1
볶아치는 일,-1
볶아치다,-1
본받아 따르다,2
본받을 만한,1
본심을 감추고,-1
볼 낯이 없거나,-1
볼것이 없다,-2
볼매,1
볼쌍사납게,-2
볼썽사납게,-2
볼품없이,-2
볼품없이 된,-2
볼품없이 떠는,-2
볼품없이 떨다,-2
볼품없이 흐트러지고,-2
볼품이 없거나,-2
봄날의,1
봄날의 경치에,1
봄의 경치,1
봄철의 빛,1
봉변,-2
봉변을 당하거나,-2
부귀한,2
부귀한 몸이,2
부글거리는,-1
부글거리는 모양,-1
부글거리다,-1
부끄러운,-1
부끄러운 느낌이,-1
부끄러운 부분,-1
부끄러운 줄,-1
부끄러운 줄 모르고,-1
부끄러운 짓을,-1
부끄러움,-1
부끄러움을,-1
부끄러움을 느끼게,-1
부끄러워서,-1
부끄러워지다,-1
부끄러워하는,-1
부끄러워하는 마음,-1
부끄러워하다,-1
부끄러워함,-1
부끄러이,-1
부끄럽게,-1
부끄럽게 여기다,-1
부끄럽다,-1
부담,-2
부담스러운,-2
부담스럽다,-2
부담이 없이,2
부당하거나,-2
부당하게,-2
부당하게 가로채어,-2
부당하다,-1
부당한,-1
부도덕,-2
부도덕한,-1
부드러우며,1
부드러우면서,1
부드러우면서 아삭하다,1
부드러운,1
부드러운 느낌이,1
부드러운 마음과,1
부드러운 맛,1
부드러운 모양,1
부드러운 태도에서,1
부드러워지게,1
부드러워지게 하다,1
부드럽게,1
부드럽게 녹여,1
부드럽게 웃는,2
부드럽게 웃다,2
부드럽게 퍼지다,1
부드럽게 흔들리는,1
부드럽고,1
부드럽고 너그러운,2
부드럽고 너그럽다,2
부드럽고 따뜻하게,2
부드럽고 따뜻하다,2
부드럽고 따뜻하며,2
부드럽고 따뜻하여,2
부드럽고 따뜻한,2
부드럽고 매끄러워서,1
부드럽고 반드럽게,1
부드럽고 반드럽다,1
부드럽고 번드럽게,1
부드럽고 번드럽다,1
부드럽고 서정적인,1
부드럽고 순하게,1
부드럽고 순하다,1
부드럽고 순한,1
부드럽고 아삭아삭한,1
부드럽고 연하게,1
부드럽고 영리한,2
부드럽고 온화하게,2
부드럽고 조용하며,2
부드럽다,1
부드럽지 못하게,-1
부드럽지 못하고,-1
부드럽지 못하다,-1
부드럽지 못하여,-1
부드럽지 못한,-1
부드럽지 못한 말로,-1
부드럽지 아니하여,-1
부득기소,-1
부득기소하다,-1
부득부득 우기거나,-1
부딪치거나,-1
부러뜨리다,-1
부러운,1
부러워함,1
부러지다,-2
부럽다,-1
부르르,0
부르르하다,0
부리거나 억지로,-1
부분이 다치거나,-1
부산을,-1
부산을 떨며,-1
부산을 피우다,-1
부산하게,-1
부산하게 구는,-1
부산하게 굴다,-1
부산하게 굴어,-1
부산하게 떠들다,-1
부산하게 소동을,-1
부산한,-1
부산한 데가,-1
부상,-2
부서지거나,-1
부서지거나 찌그러져,-1
부서지다,-2
부스럼,-1
부스럼이나,-1
부스스한,-1
부스스한 모양,-1
부실하게,-1
부심,-1
부어서 아프고,-1
