word,polarity
감동이나 고마움을,2
감동하는,2
감동하다,2
감동하여,2
감동함,2
감명되다,2
감명적,2
감명하다,2
감모,1
감미롭다,2
감병,-1
감복하다,2
감복하여,2
감사,2
감사를 표하다,2
감사하는,2
감사하는 마음으로,2
감사하다,2
감싸고,1
감싸고 달래다,0
감옥,-1
감옥에,-1
감정 사납게,-1
감정을 건드려,-1
감정의 불화,-2
감정이 거칠어져,-1
감정이 북받쳐,1
감칠맛이 있을,2
감탄,2
감탄스러울,2
감탄스러울 때,2
감탄스럽다,2
감탄적으로,2
감탄하다,2
감탄할,2
감탄할 때,2
감회가 새롭거나,2
감회에 젖음,2
갑갑궁금하다,-1
갑갑하고 궁금하다,-1
갑갑하다,-1
갑갑한,-1
갑갑한 증상,-1
갑갑할,-1
갑갑할 정도로,-1
갑분띠,-1
갑분싸,-1
갑자기 게우는,-1
갑자기 놀라거나,-1
갑자기 놀라서,-1
갑자기 무섭거나,-1
갑자기 분별없이,-1
갑자기 서늘한,-1
갑자기 서늘한서늘한 느낌이,-1
갑자기 성을,-1
갑자기 소란스럽게,-1
갑자기 소름이,-1
갑자기 어지러워,-1
갑작스러워 두렵거나,-1
갑작스럽게 화를,-1
값을 매길 수 없을 만큼,2
값진,2
강간죄,-2
강개무량,-2
강개무량하다,-2
강구하다,0
강도가,-1
강등하여,-1
강렬하게,1
강박,-1
강박하여,-1
강세,1
강인하다,1
강인한,2
강제로,-1
강제로 누르는,-1
강제로 누르다,-2
강제로 누름,-2
강제로 빼앗는,-1
강제로 빼앗다,-1
강제로 빼앗아,-2
강제로 빼앗음,-1
강제로 요구하다,-1
강제적으로,-2
강추,2
강탈,-2
강탈하다,-2
강퇴,-1
강하게,1
강하게 만들다,2
강하게 하다,1
강하고,1
강하고 야무지게,2
강하고 야무지다,2
강하고 튼튼하게,2
강하다,1
강한 비판이나,-2
강한 충격을,-1
강화하다,1
갖지 아니하게,-1
갖추다,1
갖추지 못한,-1
같잖다,-1
같잖아서,-1
같잖아서 우스운,-1
같잖은,-1
같잖은 꼴로,-1
갚지 않다,-1
개가 무섭거나,-1
개가 아프거나,-1
개선,2
개선 방도를,2
개선하고,1
개선하다,2
개선함,2
개성,1
개성있는,1
개성있다,1
개운치 않거나,-1
개운하게,2
개운하고,2
개운하고 시원한,2
개운하고 홀가분해지다,2
개운하다,2
개운하지 않고,-1
개으름을,-1
개이득,2
개짓하다,-2
개회하다,0
갠소,1
갸륵한,1
갸륵한 데가,1
갸름하다,1
거꾸러뜨리다,-1
거꾸로 넘어지거나,-1
거두지 못한,-1
거드럭거드럭,-1
거드럭거리다,-1
거들먹거들먹,-1
거들먹거들먹하다,-1
거들먹거리다,-1
거들먹대다,-1
거들먹이다,-1
거듭 따뜻이,2
거듭 죄를,-1
거뜬하다,2
거래가 금지된,-1
거룩한,2
거룩한 모습,2
거룩한 사람,2
거리끼어,-1
거리낌 없이,1
거만스럽게,-2
거만을,-2
거만을 떠는,-2
거만을 떨다,-2
거만하게,-2
거만하게 행동하는,-2
거만하게 행동하다,-2
거만하고,-2
거만하다,-2
거만한,-1
거만한 태도로,-2
거무스름한 피고름이,-1
거볍게 까부는,-1
거볍게 성을,-1
거볍게 채신없이,-1
거볍게 행동하거나,-1
거볍게 행동하는,-1
거볍게 행동하다,-1
거볍고 온화하게,2
거부감,-2
거부감 없이,2
거부하거나,-2
거부하다,-1
거북스럽게,-2
거북스럽게 저는,-2
거북스럽게 절다,-2
거북하거나,-2
거북하거나 괴로움,-2
거북하거나 괴롭다,-2
거북하거나 더럽고,-2
거북하게,-2
거북하고,-2
거북하고 불편한,-2
거북하고 주체스럽게,-2
거북하다,-2
거북한,-2
거북한 모양,-2
거북한 상태로,-2
거북한 소리가,-2
거북할,-2
거북할 만큼,-2
거세고,-1
거세고 급하다,-1
거슬려,-1
거슬려 불쾌하다,-2
거슬리거나,-1
거슬리거나 마음이,-1
거슬리게,-1
거슬리게 싫다,-1
거슬리는,-1
거슬리는 느낌이,-1
거슬리다,-1
거슬림이 없이,2
거역하다,-1
거역함,-1
거의 없다,-1
거절하거나,-2
거절하거나 싫다는,-2
거절하다,-2
거짓,-2
거짓 없다,1
거짓말,-2
거짓말을,-1
거짓없다,1
거짓으로,-1
거짓으로 감정이나,-1
거짓으로 꾸며서,-1
거짓으로 꾸미는,-1
거짓으로 꾸미다,-1
거짓으로 꾸민,-1
거짓으로 속이다,-1
거짓으로 속임,-1
거짓을 버리고,2
거짓이 없고,2
거짓이 없다,2
거짓이 없이,2
거짓이나,-1
거추장스러워서,-1
거추장스러워서 거슬리거나,-1
거추장스럽거나,-1
거추장스럽거나 성가시어,-1
거추장스럽게,-1
거추장스럽게 걸리거나,-1
거추장스럽다,-1
거추장스레,-1
거치적거리는,-1
거치적거리는 소리,-1
거치적거치적,-1
거치적거치적하다,-1
거친,-2
거친 데가,-2
