,title,percent
0,코로나,-1.1844282797150636
1,포토,-0.8577246344868613
2,고발,-0.6908839230223498
3,발언,-0.6372749941567241
4,대화,-0.6273770788492502
5,현대,-0.6065863880345593
6,속보,-0.5951269225364523
7,극복,-0.5278083710898038
8,올해,-0.5194570106552595
9,기고,-0.5180436154314401
10,김두관,-0.4752343648652582
11,공천,-0.47490449385494443
12,검찰,-0.4691816949929183
13,윤석열,-0.4536148108725531
14,범죄,-0.42178340794810715
15,그룹,-0.418419301938471
16,노무현,-0.4163044303016377
17,이해찬,-0.4099287631117782
18,인공,-0.40705348914035094
19,지구,-0.40695188775561636
20,돼지고기,-0.4041566218810418
21,세배,-0.4041566218810418
22,안전지대,-0.4041566218810418
23,부동산,-0.3910708368885792
24,태풍,-0.3884077305522545
25,공모,-0.3831840791241178
26,전쟁,-0.38029217848627495
27,심재철,-0.38028361043568265
28,병원,-0.3800294963607396
29,노인,-0.37695145981127426
30,이인영,-0.3676165880014712
31,린넨,-0.3541690522059225
32,단독,-0.3535940994755558
33,감소,-0.35332192532373297
34,거리,-0.3530744144851382
35,정부,-0.3484745564442552
36,추모,-0.3478989578855915
37,언론,-0.3422654852534464
38,전달,-0.3387856002211159
39,공매도,-0.3349537419915421
40,국민체조,-0.3324035373930071
41,퍼포먼스,-0.3302581710463356
42,증권,-0.3239650422776325
43,휴업,-0.3232638816345698
44,회의실,-0.3211122584478424
45,국가,-0.3209489007733537
46,결항,-0.31669502491531853
47,에이치,-0.3140768278428247
48,사회,-0.31314032731123714
49,무산,-0.3130011370897274
50,전용,-0.3129506056113337
51,기름값,-0.3076812132325051
52,해수부,-0.3047161063005035
53,삭감,-0.297056806271538
54,공황장애,-0.29681284414323034
55,가짜,-0.296113551960052
56,조준,-0.29592274508600847
57,매매,-0.2951855809311691
58,유력,-0.29472201277592425
59,대회,-0.29318450334829915
60,택배,-0.2923567126413288
61,장애인,-0.2887493508438676
62,냉전,-0.28865930258300737
63,페스티벌,-0.2871113311427501
64,비대,-0.2854013653636122
65,공포,-0.28325770993599375
66,민병두,-0.282304510011519
67,하루,-0.2822643032206043
68,프론트원,-0.27959984923725195
69,꼬리,-0.2785865912105441
70,위험,-0.278240602408041
71,임시,-0.2782368737648553
72,불가,-0.2777232934377553
73,강원,-0.27720763313886687
74,산지,-0.2768386353689391
75,체제,-0.2766692083375084
76,두기,-0.2743469727201131
77,매수,-0.2741433350554575
78,연봉,-0.2740434798677927
79,세종,-0.2685582102780145
80,공개,-0.26840465893747467
81,근무,-0.2683051957960858
82,시디즈,-0.26658228704460357
83,결산,-0.2659770072057555
84,매각,-0.2647109866530849
85,선율,-0.2625453179544444
86,잉카인터넷,-0.2620892660128427
87,나선,-0.2613727816062978
88,살인자,-0.260094590171143
89,노을,-0.2591669453110082
90,선별,-0.2591630185991067
91,표현,-0.2589946584703063
92,글로벌,-0.258923576500742
93,연기,-0.2567722137267731
94,달콤,-0.25556283783239153
95,대형,-0.25532197822559805
96,사실,-0.2536909263081858
97,게뭐꼬,-0.25276252748022987
98,김용민,-0.25161973864529297
99,텅빈,-0.251060598901706
100,광고인,-0.2508766672376112
101,긱블,-0.2508727131667051
102,금지,-0.250424088973731
103,라이브,-0.25037318065247655
104,대통령,-0.250297073457761
105,포스코에너지,-0.25008189979229706
106,과징금,-0.24895113119321988
107,가리개,-0.24875308171134386
108,김종인,-0.24827588519049457
109,악재,-0.24822476645789265
110,라마단,-0.24728496756318413
111,해피빈,-0.24630796525585483
112,마약,-0.24625520579080987
113,국립,-0.24613749168212926
114,이동,-0.24541697676571078
115,에스엠,-0.2454008392099661
116,실적,-0.24507690071869898
117,인파,-0.24376390512867
118,천수,-0.2435496304630147
119,위기,-0.24329319676558303
120,전환,-0.24238084717192104
121,희망,-0.2404858001064698
122,아랍인,-0.2404547367771768
123,승연,-0.24039103903904618
124,카트라이더,-0.2397065942403606
125,피아노,-0.23863900563771823
126,브리핑,-0.23813558959670686
127,솔솔,-0.2379469831911985
128,이재용,-0.2373584465763714
129,지퍼,-0.2372326651996402
130,매듭,-0.23709590431406885
131,김정재,-0.23700403436814324
132,조씨,-0.23541591748619983
133,나들이,-0.23360465007068484
134,사망자,-0.23329369587826226
135,홍콩달러,-0.23272982340058054
136,실물,-0.2317562013119594
137,집관,-0.2316770782655363
138,추위,-0.23155606872349735
139,양파,-0.2311097440472261
140,낙관,-0.23083461248901882
141,지시,-0.23079489988526197
142,대결,-0.22994038094546254
143,개발,-0.22983919470212666
144,추구,-0.22977159935218303
145,대비,-0.2297617095110344
146,종인,-0.22958820567384564
147,광고,-0.22956661028763747
148,국제선,-0.22900045035393873
149,대원,-0.22782164518755657
150,변경,-0.22756109079528283
151,위해,-0.22732250411408692
152,최문순,-0.22710905856708627
153,독수,-0.22693129519293967
154,불합리,-0.22686030986305433
155,나래,-0.22613744803180874
156,실습,-0.22607464525604087
157,아마추어,-0.22571489276207882
158,투입,-0.2242834927952678
159,미래,-0.2240404746962367
160,연통,-0.22392771486194585
161,릴리스,-0.22389200970793935
162,눈보라,-0.22366282084165634
163,고아,-0.22283415401616163
164,회신,-0.22219036722418964
165,북적,-0.22214995168144652
166,윤재관,-0.22199992491045323
167,태백,-0.22187652505621291
168,일망타진,-0.22177694838397885
169,전북도,-0.22171116405734242
170,유지,-0.22019837125115957
171,원내대표,-0.21994576330837878
172,조선대,-0.21970619655341514
173,공기업,-0.21966428277797762
174,은행권,-0.21965850268734413
175,대웅전,-0.21964124564787296
176,현대차,-0.21957067555212736
177,나하은,-0.21912833411339455
178,천연가스,-0.2188103933407305
179,김포공항,-0.21879201179911772
180,허울,-0.21853034459235604
181,렁스,-0.21841022192935963
182,단체교섭,-0.21771292096864067
183,솔선수범,-0.21726171404533381
184,보전,-0.21711872840392193
185,신한은행,-0.21704647071486752
186,코딩,-0.216995845152077
187,유권,-0.21682676821805233
188,빠트릴,-0.21672335044382626
189,깜깜,-0.21672279040921874
190,잠항,-0.21645249612168968
191,해외,-0.21626501976139345
192,전선,-0.21600180737623584
193,전무,-0.21573457070237245
194,파이프라인,-0.21512026443797544
195,산개구리,-0.21481977550910258
196,사전예약,-0.21461933016705834
197,서초구,-0.21409652545870286
198,양자컴퓨터,-0.21394917979894934
199,데이터,-0.21358557859498986
200,탄압,-0.21355155096412387
