,title,percent
0,최고,0.9836572806518229
1,지원,0.9150185356331447
2,출시,0.6978172578455363
3,안철수,0.6211611826174888
4,기념,0.6078502700953015
5,정책,0.6075544815246341
6,투표,0.5337961376986544
7,할인,0.5177581532930603
8,출판,0.5163066054746046
9,보험금,0.49743800105672686
10,김태년,0.4944133326314819
11,축제,0.4506121403188391
12,만원,0.43548322130310363
13,예정,0.41713028536277863
14,보고서,0.4114515182645196
15,아침,0.40594492829874057
16,사전투표,0.39796387492536806
17,서민,0.38213509591371664
18,내일,0.37883439431150967
19,혁신,0.37052627674279903
20,자동차,0.36949546306742476
21,취득,0.3688783619734762
22,제휴,0.36034081165549114
23,신천지,0.35976909427382564
24,제기,0.357444473544313
25,어비스,0.3556462739180059
26,견과,0.35483113550472517
27,진행,0.3539977699010315
28,개편,0.35322914102737035
29,기업,0.3519430253602003
30,명예,0.35131882394517266
31,푸조,0.3482985779621522
32,경기,0.3481418277451123
33,확진,0.3463265793107229
34,인력,0.3454614930105718
35,일주일,0.34349783828557945
36,펀드,0.3404114458640277
37,육박,0.3385287887451865
38,카카오,0.33788057456412235
39,판매,0.33517192360562226
40,발표,0.33215191151451084
41,고속도로,0.3309608414182281
42,평가,0.33025677479446236
43,바라봄,0.3291477209504741
44,토론회,0.3286623644898779
45,운세,0.32728519644245374
46,험프리,0.3269047441163246
47,센터,0.32500562101375063
48,청년,0.32325322230835246
49,최초,0.32179043580687744
50,바다로,0.32113073650522866
51,어린이,0.32005621947109253
52,도봉구,0.31903806868819445
53,기부,0.3189388041226904
54,국회,0.31698172161791494
55,식사,0.3140608314719217
56,오산,0.31384933817816063
57,모두,0.31364245697501386
58,프렌즈,0.3116925216789816
59,유치원,0.3105693801912089
60,컴퓨터,0.31004312899485814
61,인권,0.30574585503399376
62,공약,0.3056913955794388
63,운영,0.30520336645640567
64,서울시,0.30358424375243576
65,금성,0.30205786321158323
66,김은혜,0.30023266219823025
67,제일제당,0.29714488456992216
68,곳곳,0.29702220897265813
69,전주시,0.2967019633967483
70,이현동,0.29623338819519857
71,환영,0.29622451025065843
72,마스크,0.29597970393293427
73,홈플러스,0.289906148065801
74,땅바닥,0.2896246538748241
75,박원석,0.2881434263996043
76,한정,0.28686669627513667
77,영화제,0.28594183064779727
78,타협,0.2858101883711715
79,폐쇄,0.2849703368994905
80,장관,0.2844478238805642
81,규모,0.28263543875254427
82,토끼,0.28167607298736963
83,증가,0.2811320623337515
84,선정,0.2810118573349519
85,맞이,0.28008162110178536
86,협약,0.27850816783310084
87,합참의장,0.2771662772273285
88,표정,0.27692855878539485
89,배기,0.27685271576359066
90,행복,0.27179653587798136
91,보건,0.27177907005939744
92,유치,0.2716200864049417
93,활주,0.26919572286448556
94,인사,0.26849155499852584
95,이야기,0.2682525846589408
96,큰절,0.2661817472672265
97,자산,0.2636664075652811
98,제철,0.2634268422136317
99,안심,0.2624907946054466
100,중기,0.26247214970071003
101,체크,0.26245001150470054
102,분배,0.262028248752903
103,상승세,0.2613318451967712
104,소감,0.26121943705432293
105,이평,0.26115490761458626
106,배열,0.2609997188545198
107,설명,0.26007687140742874
108,점검,0.2599329274513797
109,김정은,0.2592457416320864
110,수출,0.259032862139779
111,큐물러스,0.2577693787372464
112,단기,0.25689131145653454
113,박지원,0.25606522139404425
114,라파스,0.2555591907326153
115,홍영표,0.25487850257472056
116,단체,0.2540413272956652
117,신문,0.2540257544334737
118,황교안,0.253716617570553
119,속도,0.25330514461710407
120,국선,0.252586511920045
121,평야,0.25227655981721964
122,정보통,0.25046829844488366
123,도시,0.2503702710458825
124,최수영,0.24974502938601661
125,본부,0.24902951777129936
126,주년,0.24843876071869303
127,신의,0.24840362314311806
128,인사말,0.2479609535294682
129,시민,0.2474249265731512
130,나라,0.24630996603792105
131,재단,0.24575902551968531
132,축하,0.24563247789035753
133,경제,0.24515838535942666
134,수산,0.24466330130435615
135,락인효,0.2426901128377151
136,의협,0.24257954317809913
137,용품,0.24161626410463238
138,하림,0.24147190294150542
139,문체부,0.24110776085803065
140,특별,0.23970033296063242
141,슬로바키아,0.23946381421675467
142,정말,0.23943674935235124
143,조정,0.2393332334181603
144,방명록,0.23927555853813123
145,건조기,0.23892211142348094
146,콘도미니엄,0.23891810167024188
147,집단지능,0.23864356474732573
148,정보,0.2385074802217548
149,마리,0.23822587309743096
150,연구,0.2368747167644288
151,예고편,0.2366874767488111
152,구축,0.23646080493748925
153,충칭,0.23638844593877503
154,등급,0.23628599323904023
155,채용,0.2358740892397003
156,리디,0.23585769968912768
157,겨울,0.23505381472595457
158,산업,0.23324259691041355
159,판정,0.2323215347652899
160,북경시,0.23181336211707626
161,오프라인,0.23151299918431395
162,얼음,0.23144600867466444
163,고객,0.2313000256351211
164,슈퍼리그,0.231251429424083
165,사랑,0.23044229613334172
166,신용정보,0.23029533751050335
167,언제,0.23009020257526652
168,소유,0.22992759298511686
169,인재,0.2298473289588301
170,리사,0.22938066245372504
171,경위,0.22933958501986115
172,초대,0.22865199673215983
173,롱파프,0.22823285408525637
174,상치,0.22727155695590578
175,당선,0.2271707110502479
176,이사부,0.22713675659666188
177,손짓,0.2270696470325404
178,캠프,0.22695491627161182
179,가구,0.22644308308564265
180,전문,0.22581669186920034
181,민정수,0.2255760211091243
182,작성,0.22524452962487135
183,시스템,0.22517618618876387
184,박람회,0.22514620205392843
185,부분일식,0.22482071152271454
186,푸틴,0.22467546903252866
187,스마트미디어,0.22459441250544515
188,홈파티,0.22457027282771233
189,저장장치,0.22395746982361045
190,겨자씨,0.2236895695796359
